id,PMID,gender,age
ERR4330098,33432175,female,44
ERR4330099,33432175,female,48
ERR4330100,33432175,female,45
ERR4330101,33432175,female,50
ERR4330102,33432175,male,65
ERR4330103,33432175,female,40
ERR4330104,33432175,female,48
ERR4330105,33432175,male,50
ERR4330106,33432175,female,48
ERR4330107,33432175,male,28
ERR4330108,33432175,female,50
ERR4330109,33432175,male,59
ERR4330110,33432175,female,24
ERR4330111,33432175,female,40
ERR4330112,33432175,female,35
ERR4330113,33432175,female,43
ERR4330114,33432175,female,51
ERR4330115,33432175,female,31
ERR4330116,33432175,male,31
ERR4330117,33432175,female,56
ERR4330118,33432175,male,51
ERR4330119,33432175,male,31
ERR4330120,33432175,male,46
ERR4330121,33432175,female,42
ERR4330122,33432175,male,53
ERR4330123,33432175,male,27
ERR4330124,33432175,female,40
ERR4333869,33432175,female,19
ERR4333870,33432175,female,41
ERR4333871,33432175,male,48
ERR4333872,33432175,female,46
ERR4333873,33432175,female,44
ERR4333874,33432175,female,40
ERR4333875,33432175,female,56
ERR4333876,33432175,female,59
ERR4333877,33432175,male,52
ERR4333878,33432175,female,43
ERR4333879,33432175,male,49
ERR4333880,33432175,male,44
ERR4333881,33432175,female,58
ERR4333882,33432175,female,41
ERR4333883,33432175,female,63
ERR4333884,33432175,female,43
ERR4333885,33432175,female,43
ERR4333886,33432175,female,61
ERR4333887,33432175,female,26
ERR4333888,33432175,male,27
ERR4333889,33432175,male,33
ERR4333890,33432175,male,24
ERR4333891,33432175,female,42
ERR4333892,33432175,female,42
ERR4333893,33432175,female,49
ERR4333894,33432175,female,38
ERR4333895,33432175,female,59
ERR4333896,33432175,male,36
ERR4333897,33432175,female,54
ERR4333898,33432175,male,43
ERR4333899,33432175,male,28
ERR4333900,33432175,female,23
ERR4333901,33432175,female,44
ERR4333902,33432175,female,25
ERR4333903,33432175,male,59
ERR4333904,33432175,female,54
ERR4333905,33432175,female,53
ERR4333906,33432175,female,51
ERR4333907,33432175,male,59
ERR4333908,33432175,male,33
ERR4333909,33432175,female,53
ERR4333910,33432175,female,44
ERR4333911,33432175,female,33
ERR4333912,33432175,female,62
ERR4333913,33432175,female,35
ERR4333914,33432175,female,51
ERR4333915,33432175,female,44
ERR4333916,33432175,female,48
ERR4333917,33432175,male,53
ERR4333918,33432175,female,49
ERR4333919,33432175,male,50
ERR4333920,33432175,female,63
ERR4333921,33432175,male,41
ERR4333922,33432175,female,64
ERR4333923,33432175,female,63
ERR4333924,33432175,female,43
ERR4333925,33432175,female,24
ERR4333926,33432175,female,47
ERR4333927,33432175,female,58
ERR4333928,33432175,female,56
ERR4333929,33432175,female,61
ERR4333930,33432175,female,37
ERR4333931,33432175,female,27
ERR4333932,33432175,male,23
ERR4333933,33432175,female,36
ERR4333934,33432175,male,57
ERR4333935,33432175,female,56
ERR4333936,33432175,female,47
ERR4333937,33432175,female,62
